pnt* 9 266 red red
x : 16.000000 y : 28.750000
x : 22.000000 y : 28.750000
x : 28.000000 y : 28.750000
x : 34.000000 y : 28.750000
x : 40.000000 y : 28.750000
x : 46.000000 y : 28.750000
x : 52.000000 y : 35.000000
x : 52.000000 y : 41.250000
x : 52.000000 y : 47.500000
x : 10.000000 y : 53.750000
x : 16.000000 y : 53.750000
x : 22.000000 y : 53.750000
x : 28.000000 y : 53.750000
x : 34.000000 y : 53.750000
x : 40.000000 y : 53.750000
x : 46.000000 y : 53.750000
x : 68.000000 y : 10.000000
x : 74.000000 y : 10.000000
x : 80.000000 y : 10.000000
x : 86.000000 y : 10.000000
x : 92.000000 y : 10.000000
x : 98.000000 y : 10.000000
x : 62.000000 y : 16.250000
x : 104.000000 y : 16.250000
x : 62.000000 y : 22.500000
x : 104.000000 y : 22.500000
x : 62.000000 y : 28.750000
x : 104.000000 y : 28.750000
x : 62.000000 y : 35.000000
x : 68.000000 y : 35.000000
x : 74.000000 y : 35.000000
x : 80.000000 y : 35.000000
x : 86.000000 y : 35.000000
x : 92.000000 y : 35.000000
x : 98.000000 y : 35.000000
x : 104.000000 y : 35.000000
x : 62.000000 y : 41.250000
x : 104.000000 y : 41.250000
x : 62.000000 y : 47.500000
x : 104.000000 y : 47.500000
x : 62.000000 y : 53.750000
x : 104.000000 y : 53.750000
x : 114.000000 y : 10.000000
x : 120.000000 y : 10.000000
x : 114.000000 y : 16.250000
x : 120.000000 y : 16.250000
x : 114.000000 y : 22.500000
x : 120.000000 y : 22.500000
x : 114.000000 y : 28.750000
x : 120.000000 y : 28.750000
x : 114.000000 y : 35.000000
x : 120.000000 y : 35.000000
x : 114.000000 y : 41.250000
x : 120.000000 y : 41.250000
x : 156.000000 y : 41.250000
x : 114.000000 y : 47.500000
x : 120.000000 y : 47.500000
x : 150.000000 y : 47.500000
x : 156.000000 y : 47.500000
x : 114.000000 y : 53.750000
x : 120.000000 y : 53.750000
x : 126.000000 y : 53.750000
x : 132.000000 y : 53.750000
x : 138.000000 y : 53.750000
x : 144.000000 y : 53.750000
x : 150.000000 y : 53.750000
x : 156.000000 y : 53.750000
x : 166.000000 y : 10.000000
x : 208.000000 y : 10.000000
x : 166.000000 y : 16.250000
x : 208.000000 y : 16.250000
x : 172.000000 y : 22.500000
x : 202.000000 y : 22.500000
x : 172.000000 y : 28.750000
x : 202.000000 y : 28.750000
x : 178.000000 y : 35.000000
x : 196.000000 y : 35.000000
x : 178.000000 y : 41.250000
x : 196.000000 y : 41.250000
x : 184.000000 y : 47.500000
x : 190.000000 y : 47.500000
x : 184.000000 y : 53.750000
x : 190.000000 y : 53.750000
x : 218.000000 y : 10.000000
x : 224.000000 y : 10.000000
x : 230.000000 y : 10.000000
x : 236.000000 y : 10.000000
x : 242.000000 y : 10.000000
x : 248.000000 y : 10.000000
x : 254.000000 y : 10.000000
x : 260.000000 y : 10.000000
x : 218.000000 y : 16.250000
x : 260.000000 y : 16.250000
x : 218.000000 y : 22.500000
x : 218.000000 y : 28.750000
x : 224.000000 y : 28.750000
x : 230.000000 y : 28.750000
x : 236.000000 y : 28.750000
x : 218.000000 y : 35.000000
x : 224.000000 y : 35.000000
x : 230.000000 y : 35.000000
x : 236.000000 y : 35.000000
x : 218.000000 y : 41.250000
x : 218.000000 y : 47.500000
x : 260.000000 y : 47.500000
x : 218.000000 y : 53.750000
x : 224.000000 y : 53.750000
x : 230.000000 y : 53.750000
x : 236.000000 y : 53.750000
x : 242.000000 y : 53.750000
x : 248.000000 y : 53.750000
x : 254.000000 y : 53.750000
x : 260.000000 y : 53.750000
x : 328.000000 y : 10.000000
x : 334.000000 y : 10.000000
x : 340.000000 y : 10.000000
x : 346.000000 y : 10.000000
x : 352.000000 y : 10.000000
x : 358.000000 y : 10.000000
x : 322.000000 y : 16.250000
x : 364.000000 y : 16.250000
x : 322.000000 y : 22.500000
x : 364.000000 y : 22.500000
x : 322.000000 y : 28.750000
x : 364.000000 y : 28.750000
x : 322.000000 y : 35.000000
x : 364.000000 y : 35.000000
x : 322.000000 y : 41.250000
x : 364.000000 y : 41.250000
x : 322.000000 y : 47.500000
x : 364.000000 y : 47.500000
x : 328.000000 y : 53.750000
x : 334.000000 y : 53.750000
x : 340.000000 y : 53.750000
x : 346.000000 y : 53.750000
